experiment_id,created_at,pipeline_version,model,temperature_profile,temperature_prompt,temperature_repair_json,temperature_grade,temperature_reask,question_id,question,run_id,status,started_at,finished_at,duration_ms,total_time_s,attempted,ran,skipped,failures_total,has_error,run_rate,reasked,reask_count,repaired,validated_present,score_confidence,score_tier,action,grade,grade_rationale,answer_confidence
temp_stability_fixed_eval_v1,2026-05-16T17:50:14.445903+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q001,"Given a scenario where user engagement drops significantly, what metrics would you prioritize to diagnose the issue?",c87b4ad8-2d85-4ec9-9ec8-05e7190db797,success,2026-05-16T17:50:10.697640+00:00,2026-05-16T17:50:14.445791+00:00,3748,2.208292299997993,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,0.9,"The answer correctly identifies key metrics that are relevant to diagnosing user engagement issues. However, it could be improved by mentioning the importance of analyzing trends over time and segmenting the data for deeper insights.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:17.891797+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q002,Compare the tradeoffs between increasing model complexity for accuracy versus maintaining a simpler model for speed; which would you recommend?,fa81ba0f-1125-4089-8791-f662fb309f5f,success,2026-05-16T17:50:14.446562+00:00,2026-05-16T17:50:17.891699+00:00,3445,2.280837700003758,7,7,5,0,False,1.0,False,0,False,True,0.85,medium,review,0.8,"The answer correctly identifies the tradeoffs and provides a balanced view, but it lacks specific examples or metrics that could enhance clarity and completeness.",0.85
temp_stability_fixed_eval_v1,2026-05-16T17:50:20.361229+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q003,"In a system where data privacy is paramount, what risks arise from using third-party APIs, and how would you mitigate them?",09ecc451-9eb0-4d6b-9f54-267b800ed8df,success,2026-05-16T17:50:17.892454+00:00,2026-05-16T17:50:20.361140+00:00,2468,1.4743955999729224,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,1.0,"The answer correctly identifies the risks associated with third-party APIs and provides a comprehensive set of mitigation strategies, demonstrating both completeness and clarity.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:24.343574+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q004,"Given incomplete logs of a system failure, what steps would you take to identify the root cause?",728ec3f1-dad2-4490-891c-64076c8f97c5,success,2026-05-16T17:50:20.361874+00:00,2026-05-16T17:50:24.343478+00:00,3981,2.67934219999006,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,1.0,"The answer provides a comprehensive and clear step-by-step approach to identifying the root cause of a system failure, covering all necessary aspects from log analysis to team interviews and documentation.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:28.805674+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q005,Design a feedback loop for a machine learning model that operates under strict latency constraints; what elements are essential?,d35f4c5d-67b7-4659-a105-8b895f69e53b,success,2026-05-16T17:50:24.344287+00:00,2026-05-16T17:50:28.805572+00:00,4461,3.200631899992004,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,0.9,"The answer correctly identifies essential elements for a feedback loop in a machine learning model under strict latency constraints, covering key aspects like real-time data ingestion and low-latency inference. However, it could improve clarity by briefly explaining how each element contributes to maintaining latency constraints.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:32.258454+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q006,"What could go wrong in a deployment pipeline that lacks automated testing, and how would you monitor for these issues?",0bc0f374-9bf1-431c-b486-61956d8e6758,success,2026-05-16T17:50:28.806483+00:00,2026-05-16T17:50:32.258363+00:00,3451,2.5304558000643738,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,0.9,"The answer correctly identifies potential issues in a deployment pipeline without automated testing and suggests appropriate monitoring strategies. However, it could be clearer by explicitly linking each issue to its monitoring counterpart.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:34.209023+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q007,"Given a limited budget for cloud resources, how would you prioritize which services to scale up or down?",0023db00-1e55-48f9-b700-21a8f6b4f8ec,success,2026-05-16T17:50:32.259131+00:00,2026-05-16T17:50:34.208932+00:00,1949,1.1167260999209248,7,7,5,0,False,1.0,False,0,False,True,0.9,medium,review,0.9,"The answer correctly identifies key factors for prioritizing cloud resource scaling, such as critical business functions and cost-effectiveness. However, it could be clearer by explicitly mentioning the importance of aligning scaling decisions with overall business strategy.",0.9
temp_stability_fixed_eval_v1,2026-05-16T17:50:36.438746+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q008,"In a scenario where user feedback is mixed, how would you decide which feature to develop next?",14af1f54-27dc-457f-9c45-5d96aafddbc9,success,2026-05-16T17:50:34.209836+00:00,2026-05-16T17:50:36.438652+00:00,2228,1.336835100024473,7,7,5,0,False,1.0,False,0,False,True,0.85,medium,review,1.0,"The answer correctly addresses the question by outlining a clear and comprehensive approach to prioritizing features based on user feedback, impact, business goals, and feasibility.",0.85
temp_stability_fixed_eval_v1,2026-05-16T17:50:39.573284+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q009,Identify potential risks in a collaborative project where team members have conflicting priorities and suggest mitigations.,4bb24854-0aa2-4905-914f-cce4d416816e,success,2026-05-16T17:50:36.439595+00:00,2026-05-16T17:50:39.573173+00:00,3133,1.610151400032919,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,0.9,"The answer correctly identifies key risks and provides relevant mitigations, demonstrating a good understanding of the topic. However, it could be improved by offering more specific examples of how to implement the suggested mitigations.",0.95
temp_stability_fixed_eval_v1,2026-05-16T17:50:42.951738+00:00,0.1.0,gpt-4o-mini,v1_low_temp,0.0,0.0,0.0,0.0,q010,"Given a model that performs well in training but poorly in production, what diagnostic steps would you take to uncover the issue?",cc003271-4b23-4cca-aee7-0cad33569d97,success,2026-05-16T17:50:39.574076+00:00,2026-05-16T17:50:42.951646+00:00,3377,2.0616671000025235,7,7,5,0,False,1.0,False,0,False,True,0.95,high,accept,1.0,"The answer provides a comprehensive and clear list of diagnostic steps that address potential issues causing the model's poor performance in production, covering various aspects such as data leakage, distribution discrepancies, and model evaluation.",0.95
